condition,roi,prepost_diff,sub
trained,V1,-0.04108751924712062,0110171
trained,V1,-0.042306240756477154,0110172
trained,V1,0.08694684342040115,0111171
trained,V1,-0.032762757529592124,0112171
trained,V1,-0.046884789146578454,0112172
trained,V1,0.010258512478624082,0112173
trained,V1,-0.05480519908552017,0113171
trained,V1,-0.024325760258413487,0115174
trained,V1,0.057694255769932146,0117171
trained,V1,-0.06147865133859087,0118171
trained,V1,-0.08015625461050913,0118172
trained,V1,-0.01916033386975524,0119171
trained,V1,0.015168197244378012,0119172
trained,V1,-0.0159253899627671,0119173
trained,V1,-0.10736412233181325,0119174
trained,V1,0.009647832636781761,0120171
trained,V1,0.05572382222271127,0120172
trained,V1,-0.45962427445643994,0120173
trained,V1,-0.00669189140712978,0123171
trained,V1,-0.02089648614388495,0123173
trained,V1,0.012310549051504305,0124171
trained,V1,0.027854342500602203,0125171
trained,V1,0.004046288186318359,0125172
trained,V1,-0.11996344212696353,1121161
trained,V1,-0.14595863182674373,1130161
trained,V1,-0.11881550123148998,1202161
trained,V1,0.003650254556619381,1203161
trained,V1,-0.00921393057856601,1206161
trained,V1,0.08543443213397989,1206162
trained,V1,-0.14083601796223177,1206163
trained,V1,0.014806087704613557,1207162
control,V1,-0.06064250893581585,0110171
control,V1,0.028184276972001654,0110172
control,V1,0.07348084979365677,0111171
control,V1,0.10815757228344902,0112171
control,V1,-0.0290947208803094,0112172
control,V1,0.03826728280625036,0112173
control,V1,-0.03220667016536827,0113171
control,V1,0.016781770618737313,0115174
control,V1,-0.015386633313735576,0117171
control,V1,-0.015787826261632665,0118171
control,V1,-0.17811362282354648,0118172
control,V1,0.012060754524004347,0119171
control,V1,0.012226941956989923,0119172
control,V1,0.023213333303880146,0119173
control,V1,-0.0008896300616534347,0119174
control,V1,0.029050972003504483,0120171
control,V1,0.012183272341175944,0120172
control,V1,-0.10306160356474381,0120173
control,V1,-0.014846788362756214,0123171
control,V1,-0.08611237908500041,0123173
control,V1,0.033691970967019425,0124171
control,V1,0.010714991496857174,0125171
control,V1,-0.00808876016316562,0125172
control,V1,0.06898562288596427,1121161
control,V1,-0.14493571018021867,1130161
control,V1,0.07284366039945633,1202161
control,V1,-0.17512421836265235,1203161
control,V1,0.026036948065578547,1206161
control,V1,-0.01650181146834906,1206162
control,V1,0.002977348299946392,1206163
control,V1,-0.020505096475904316,1207162
difference,V1,0.019554989688695235,0110171
difference,V1,-0.07049051772847881,0110172
difference,V1,0.013465993626744388,0111171
difference,V1,-0.14092032981304115,0112171
difference,V1,-0.017790068266269055,0112172
difference,V1,-0.028008770327626276,0112173
difference,V1,-0.022598528920151906,0113171
difference,V1,-0.0411075308771508,0115174
difference,V1,0.07308088908366772,0117171
difference,V1,-0.04569082507695821,0118171
difference,V1,0.09795736821303735,0118172
difference,V1,-0.03122108839375959,0119171
difference,V1,0.0029412552873880893,0119172
difference,V1,-0.039138723266647246,0119173
difference,V1,-0.10647449227015982,0119174
difference,V1,-0.01940313936672272,0120171
difference,V1,0.04354054988153533,0120172
difference,V1,-0.35656267089169613,0120173
difference,V1,0.008154896955626434,0123171
difference,V1,0.06521589294111546,0123173
difference,V1,-0.02138142191551512,0124171
difference,V1,0.01713935100374503,0125171
difference,V1,0.012135048349483979,0125172
difference,V1,-0.1889490650129278,1121161
difference,V1,-0.0010229216465250657,1130161
difference,V1,-0.19165916163094632,1202161
difference,V1,0.17877447291927173,1203161
difference,V1,-0.035250878644144557,1206161
difference,V1,0.10193624360232895,1206162
difference,V1,-0.14381336626217817,1206163
difference,V1,0.035311184180517874,1207162
trained,V2,-0.026712008405360643,0110171
trained,V2,-0.05372533257849327,0110172
trained,V2,0.05326618936287575,0111171
trained,V2,-0.02043338577027065,0112171
trained,V2,-0.03516594903097425,0112172
trained,V2,-0.03342430412097375,0112173
trained,V2,-0.04059796541803734,0113171
trained,V2,-0.023149087294114024,0115174
trained,V2,0.04019166965664378,0117171
trained,V2,-0.03558802184788057,0118171
trained,V2,-0.08049177205137109,0118172
trained,V2,-0.020810397098369793,0119171
trained,V2,0.007927353854635055,0119172
trained,V2,-0.0056148335950551576,0119173
trained,V2,-0.09094532274504946,0119174
trained,V2,0.010066064980512934,0120171
trained,V2,0.03756880006108343,0120172
trained,V2,-0.3373051778324003,0120173
trained,V2,0.00311291371183009,0123171
trained,V2,-0.011979009472067259,0123173
trained,V2,0.017316399940962346,0124171
trained,V2,0.031670443311879626,0125171
trained,V2,0.0012558849416606788,0125172
trained,V2,-0.06529327198482893,1121161
trained,V2,-0.11976021652219704,1130161
trained,V2,-0.21113634559416605,1202161
trained,V2,0.005730526864239971,1203161
trained,V2,-0.033903483050610195,1206161
trained,V2,0.08075476455737784,1206162
trained,V2,-0.0662357659129062,1206163
trained,V2,0.018457829567188277,1207162
control,V2,-0.029043766590418407,0110171
control,V2,0.0033672490224020968,0110172
control,V2,0.06260094372996161,0111171
control,V2,0.10027544067527194,0112171
control,V2,0.01373057039572212,0112172
control,V2,0.04636770940959767,0112173
control,V2,-0.025496467848319715,0113171
control,V2,0.008201321334568634,0115174
control,V2,0.025960819986707073,0117171
control,V2,-0.021371480138999532,0118171
control,V2,-0.13597280577725773,0118172
control,V2,-0.009511734251849258,0119171
control,V2,-0.013591155787179732,0119172
control,V2,0.015417165261019827,0119173
control,V2,-0.015729364733093998,0119174
control,V2,0.020930340700730354,0120171
control,V2,0.018411826553210164,0120172
control,V2,-0.13783132878115933,0120173
control,V2,0.00700144376591616,0123171
control,V2,-0.06217112209198811,0123173
control,V2,0.012083455443518576,0124171
control,V2,-0.004664528329893336,0125171
control,V2,-0.0014669162835471705,0125172
control,V2,0.053564864848413996,1121161
control,V2,-0.09267286379423978,1130161
control,V2,0.03953609151089377,1202161
control,V2,-0.062426790716905156,1203161
control,V2,0.02926137747621027,1206161
control,V2,-0.04314933351856792,1206162
control,V2,-0.04219640977880773,1206163
control,V2,-0.005187399300112638,1207162
difference,V2,0.002331758185057764,0110171
difference,V2,-0.057092581600895365,0110172
difference,V2,-0.009334754367085862,0111171
difference,V2,-0.1207088264455426,0112171
difference,V2,-0.04889651942669637,0112172
difference,V2,-0.07979201353057142,0112173
difference,V2,-0.015101497569717626,0113171
difference,V2,-0.03135040862868266,0115174
difference,V2,0.014230849669936707,0117171
difference,V2,-0.014216541708881036,0118171
difference,V2,0.05548103372588664,0118172
difference,V2,-0.011298662846520535,0119171
difference,V2,0.021518509641814787,0119172
difference,V2,-0.021031998856074985,0119173
difference,V2,-0.07521595801195546,0119174
difference,V2,-0.01086427572021742,0120171
difference,V2,0.019156973507873265,0120172
difference,V2,-0.199473849051241,0120173
difference,V2,-0.00388853005408607,0123171
difference,V2,0.05019211261992085,0123173
difference,V2,0.00523294449744377,0124171
difference,V2,0.03633497164177296,0125171
difference,V2,0.0027228012252078493,0125172
difference,V2,-0.11885813683324292,1121161
difference,V2,-0.02708735272795726,1130161
difference,V2,-0.2506724371050598,1202161
difference,V2,0.06815731758114513,1203161
difference,V2,-0.06316486052682047,1206161
difference,V2,0.12390409807594577,1206162
difference,V2,-0.024039356134098466,1206163
difference,V2,0.023645228867300916,1207162
trained,LOC,0.010066231341251508,0110171
trained,LOC,-0.05386225350723667,0110172
trained,LOC,0.05286463009422132,0111171
trained,LOC,0.02004339091725471,0112171
trained,LOC,-0.028634948260208848,0112172
trained,LOC,-0.03609019076161696,0112173
trained,LOC,-0.028682251130625114,0113171
trained,LOC,-0.031859932882338404,0115174
trained,LOC,-0.045396626624418956,0117171
trained,LOC,-0.0019814577985269866,0118171
trained,LOC,-0.09289609349103733,0118172
trained,LOC,-0.03111609825960282,0119171
trained,LOC,-0.03675128128718713,0119172
trained,LOC,-0.004785227438550144,0119173
trained,LOC,-0.030924404206393086,0119174
trained,LOC,-0.020929097696560484,0120171
trained,LOC,0.02115139436328939,0120172
trained,LOC,0.011916176539471968,0120173
trained,LOC,0.003642400990378769,0123171
trained,LOC,-0.026020371424673172,0123173
trained,LOC,-0.02102219144813061,0124171
trained,LOC,0.05013378011350034,0125171
trained,LOC,-0.0014767168669124198,0125172
trained,LOC,-0.05549046218545972,1121161
trained,LOC,-0.05880046310988002,1130161
trained,LOC,-0.05603581522478318,1202161
trained,LOC,0.00610251027370029,1203161
trained,LOC,0.012375558841370982,1206161
trained,LOC,0.00910215424429639,1206162
trained,LOC,-0.016920194680134892,1206163
trained,LOC,0.017885559079019064,1207162
control,LOC,-0.0006135307951117275,0110171
control,LOC,-0.005613015662364607,0110172
control,LOC,0.03489268852321503,0111171
control,LOC,0.024185126849485095,0112171
control,LOC,0.013986651985572973,0112172
control,LOC,0.022580074219967328,0112173
control,LOC,0.0007771934048357299,0113171
control,LOC,-0.06052910759125579,0115174
control,LOC,0.023408911636348506,0117171
control,LOC,-0.06831339556904964,0118171
control,LOC,-0.025000806902046868,0118172
control,LOC,0.007057963632629449,0119171
control,LOC,-0.04968136280697899,0119172
control,LOC,0.011690124501862853,0119173
control,LOC,0.0014886461427875974,0119174
control,LOC,0.01611619231152006,0120171
control,LOC,0.04815840684109829,0120172
control,LOC,-0.00744146016188052,0120173
control,LOC,0.004159312146982452,0123171
control,LOC,-0.10834609686204544,0123173
control,LOC,0.005659570582722706,0124171
control,LOC,-0.001873898836498411,0125171
control,LOC,-4.4480019004922156e-05,0125172
control,LOC,0.039957506012640365,1121161
control,LOC,-0.09375053549222362,1130161
control,LOC,-0.017492256956459173,1202161
control,LOC,-0.039243188180718314,1203161
control,LOC,-0.0008980931494634303,1206161
control,LOC,-0.013738003432277823,1206162
control,LOC,-0.017083006347294094,1206163
control,LOC,-0.0014980248330305757,1207162
difference,LOC,0.010679762136363236,0110171
difference,LOC,-0.04824923784487206,0110172
difference,LOC,0.01797194157100629,0111171
difference,LOC,-0.004141735932230384,0112171
difference,LOC,-0.04262160024578182,0112172
difference,LOC,-0.058670264981584286,0112173
difference,LOC,-0.029459444535460844,0113171
difference,LOC,0.02866917470891739,0115174
difference,LOC,-0.06880553826076746,0117171
difference,LOC,0.06633193777052265,0118171
difference,LOC,-0.06789528658899047,0118172
difference,LOC,-0.03817406189223227,0119171
difference,LOC,0.012930081519791858,0119172
difference,LOC,-0.016475351940412997,0119173
