,roi_formatted,subj,phase,trained,correct
0,ENT,0110171,post,False,0.2375
1,ENT,0110171,post,True,0.325
2,ENT,0110171,pre,False,0.225
3,ENT,0110171,pre,True,0.25
4,ENT,0110172,post,False,0.3
5,ENT,0110172,post,True,0.3375
6,ENT,0110172,pre,False,0.3375
7,ENT,0110172,pre,True,0.175
8,ENT,0111171,post,False,0.2375
9,ENT,0111171,post,True,0.275
10,ENT,0111171,pre,False,0.2125
11,ENT,0111171,pre,True,0.2375
12,ENT,0112171,post,False,0.3
13,ENT,0112171,post,True,0.2875
14,ENT,0112171,pre,False,0.25
15,ENT,0112171,pre,True,0.25
16,ENT,0112172,post,False,0.2625
17,ENT,0112172,post,True,0.3125
18,ENT,0112172,pre,False,0.2
19,ENT,0112172,pre,True,0.1625
20,ENT,0112173,post,False,0.275
21,ENT,0112173,post,True,0.2625
22,ENT,0112173,pre,False,0.225
23,ENT,0112173,pre,True,0.25
24,ENT,0113171,post,False,0.225
25,ENT,0113171,post,True,0.225
26,ENT,0113171,pre,False,0.1625
27,ENT,0113171,pre,True,0.3125
28,ENT,0115174,post,False,0.2
29,ENT,0115174,post,True,0.2375
30,ENT,0115174,pre,False,0.25
31,ENT,0115174,pre,True,0.225
32,ENT,0117171,post,False,0.3625
33,ENT,0117171,post,True,0.2875
34,ENT,0117171,pre,False,0.2375
35,ENT,0117171,pre,True,0.1375
36,ENT,0118171,post,False,0.325
37,ENT,0118171,post,True,0.2
38,ENT,0118171,pre,False,0.2875
39,ENT,0118171,pre,True,0.2125
40,ENT,0118172,post,False,0.3
41,ENT,0118172,post,True,0.25
42,ENT,0118172,pre,False,0.2375
43,ENT,0118172,pre,True,0.225
44,ENT,0119171,post,False,0.175
45,ENT,0119171,post,True,0.275
46,ENT,0119171,pre,False,0.3375
47,ENT,0119171,pre,True,0.2375
48,ENT,0119172,post,False,0.3
49,ENT,0119172,post,True,0.15
50,ENT,0119172,pre,False,0.325
51,ENT,0119172,pre,True,0.2
52,ENT,0119173,post,False,0.2375
53,ENT,0119173,post,True,0.2375
54,ENT,0119173,pre,False,0.2125
55,ENT,0119173,pre,True,0.2375
56,ENT,0119174,post,False,0.35
57,ENT,0119174,post,True,0.2875
58,ENT,0119174,pre,False,0.2625
59,ENT,0119174,pre,True,0.225
60,ENT,0120171,post,False,0.2625
61,ENT,0120171,post,True,0.2375
62,ENT,0120171,pre,False,0.225
63,ENT,0120171,pre,True,0.2375
64,ENT,0120172,post,False,0.2875
65,ENT,0120172,post,True,0.2625
66,ENT,0120172,pre,False,0.25
67,ENT,0120172,pre,True,0.225
68,ENT,0120173,post,False,0.3125
69,ENT,0120173,post,True,0.2625
70,ENT,0120173,pre,False,0.15
71,ENT,0120173,pre,True,0.2125
72,ENT,0123171,post,False,0.3
73,ENT,0123171,post,True,0.2625
74,ENT,0123171,pre,False,0.2625
75,ENT,0123171,pre,True,0.2125
76,ENT,0123173,post,False,0.3125
77,ENT,0123173,post,True,0.25
78,ENT,0123173,pre,False,0.275
79,ENT,0123173,pre,True,0.325
80,ENT,0124171,post,False,0.2125
81,ENT,0124171,post,True,0.1875
82,ENT,0124171,pre,False,0.3
83,ENT,0124171,pre,True,0.2625
84,ENT,0125171,post,False,0.2375
85,ENT,0125171,post,True,0.2875
86,ENT,0125171,pre,False,0.2625
87,ENT,0125171,pre,True,0.2625
88,ENT,0125172,post,False,0.2875
89,ENT,0125172,post,True,0.225
90,ENT,0125172,pre,False,0.1875
91,ENT,0125172,pre,True,0.25
92,ENT,1121161,post,False,0.225
93,ENT,1121161,post,True,0.15
94,ENT,1121161,pre,False,0.175
95,ENT,1121161,pre,True,0.25
96,ENT,1130161,post,False,0.2125
97,ENT,1130161,post,True,0.325
98,ENT,1130161,pre,False,0.2125
99,ENT,1130161,pre,True,0.2875
100,ENT,1202161,post,False,0.2
101,ENT,1202161,post,True,0.225
102,ENT,1202161,pre,False,0.0875
103,ENT,1202161,pre,True,0.3625
104,ENT,1203161,post,False,0.1875
105,ENT,1203161,post,True,0.275
106,ENT,1203161,pre,False,0.2375
107,ENT,1203161,pre,True,0.3125
108,ENT,1206161,post,False,0.225
109,ENT,1206161,post,True,0.3
110,ENT,1206161,pre,False,0.2
111,ENT,1206161,pre,True,0.2375
112,ENT,1206162,post,False,0.325
113,ENT,1206162,post,True,0.225
114,ENT,1206162,pre,False,0.2
115,ENT,1206162,pre,True,0.325
116,ENT,1206163,post,False,0.2
117,ENT,1206163,post,True,0.2625
118,ENT,1206163,pre,False,0.3
119,ENT,1206163,pre,True,0.275
120,ENT,1207162,post,False,0.175
121,ENT,1207162,post,True,0.1875
122,ENT,1207162,pre,False,0.325
123,ENT,1207162,pre,True,0.15
124,FUS,0110171,post,False,0.25
125,FUS,0110171,post,True,0.175
126,FUS,0110171,pre,False,0.2875
127,FUS,0110171,pre,True,0.425
128,FUS,0110172,post,False,0.2
129,FUS,0110172,post,True,0.225
130,FUS,0110172,pre,False,0.275
131,FUS,0110172,pre,True,0.325
132,FUS,0111171,post,False,0.1375
133,FUS,0111171,post,True,0.325
134,FUS,0111171,pre,False,0.2125
135,FUS,0111171,pre,True,0.2875
136,FUS,0112171,post,False,0.4
137,FUS,0112171,post,True,0.2125
138,FUS,0112171,pre,False,0.2375
139,FUS,0112171,pre,True,0.3625
140,FUS,0112172,post,False,0.2625
141,FUS,0112172,post,True,0.25
142,FUS,0112172,pre,False,0.2625
143,FUS,0112172,pre,True,0.2375
144,FUS,0112173,post,False,0.2625
145,FUS,0112173,post,True,0.275
146,FUS,0112173,pre,False,0.2125
147,FUS,0112173,pre,True,0.3
148,FUS,0113171,post,False,0.2625
149,FUS,0113171,post,True,0.3
150,FUS,0113171,pre,False,0.2625
151,FUS,0113171,pre,True,0.2875
152,FUS,0115174,post,False,0.175
153,FUS,0115174,post,True,0.2
154,FUS,0115174,pre,False,0.3125
155,FUS,0115174,pre,True,0.325
156,FUS,0117171,post,False,0.225
157,FUS,0117171,post,True,0.2
158,FUS,0117171,pre,False,0.2375
159,FUS,0117171,pre,True,0.2375
160,FUS,0118171,post,False,0.275
161,FUS,0118171,post,True,0.325
162,FUS,0118171,pre,False,0.2875
163,FUS,0118171,pre,True,0.2
164,FUS,0118172,post,False,0.2625
165,FUS,0118172,post,True,0.375
166,FUS,0118172,pre,False,0.2
167,FUS,0118172,pre,True,0.4
168,FUS,0119171,post,False,0.225
169,FUS,0119171,post,True,0.3125
170,FUS,0119171,pre,False,0.3
171,FUS,0119171,pre,True,0.2875
172,FUS,0119172,post,False,0.25
173,FUS,0119172,post,True,0.275
174,FUS,0119172,pre,False,0.175
175,FUS,0119172,pre,True,0.35
176,FUS,0119173,post,False,0.25
177,FUS,0119173,post,True,0.35
178,FUS,0119173,pre,False,0.2625
179,FUS,0119173,pre,True,0.2375
180,FUS,0119174,post,False,0.2
181,FUS,0119174,post,True,0.375
182,FUS,0119174,pre,False,0.2375
183,FUS,0119174,pre,True,0.2125
184,FUS,0120171,post,False,0.25
185,FUS,0120171,post,True,0.225
186,FUS,0120171,pre,False,0.275
187,FUS,0120171,pre,True,0.2375
188,FUS,0120172,post,False,0.2875
189,FUS,0120172,post,True,0.3
190,FUS,0120172,pre,False,0.2125
191,FUS,0120172,pre,True,0.3375
192,FUS,0120173,post,False,0.225
193,FUS,0120173,post,True,0.3125
194,FUS,0120173,pre,False,0.275
195,FUS,0120173,pre,True,0.3
196,FUS,0123171,post,False,0.2125
197,FUS,0123171,post,True,0.375
198,FUS,0123171,pre,False,0.225
199,FUS,0123171,pre,True,0.3125
200,FUS,0123173,post,False,0.2
201,FUS,0123173,post,True,0.2
202,FUS,0123173,pre,False,0.1625
203,FUS,0123173,pre,True,0.2
204,FUS,0124171,post,False,0.2875
205,FUS,0124171,post,True,0.25
206,FUS,0124171,pre,False,0.2125
207,FUS,0124171,pre,True,0.2875
208,FUS,0125171,post,False,0.2125
209,FUS,0125171,post,True,0.35
210,FUS,0125171,pre,False,0.1375
211,FUS,0125171,pre,True,0.2625
212,FUS,0125172,post,False,0.2875
213,FUS,0125172,post,True,0.2625
214,FUS,0125172,pre,False,0.25
215,FUS,0125172,pre,True,0.2375
216,FUS,1121161,post,False,0.2625
217,FUS,1121161,post,True,0.25
218,FUS,1121161,pre,False,0.225
219,FUS,1121161,pre,True,0.2
220,FUS,1130161,post,False,0.175
221,FUS,1130161,post,True,0.4
222,FUS,1130161,pre,False,0.325
223,FUS,1130161,pre,True,0.2
224,FUS,1202161,post,False,0.2375
225,FUS,1202161,post,True,0.175
226,FUS,1202161,pre,False,0.25
227,FUS,1202161,pre,True,0.2375
228,FUS,1203161,post,False,0.3
229,FUS,1203161,post,True,0.2375
230,FUS,1203161,pre,False,0.225
231,FUS,1203161,pre,True,0.2125
232,FUS,1206161,post,False,0.15
233,FUS,1206161,post,True,0.3
234,FUS,1206161,pre,False,0.275
235,FUS,1206161,pre,True,0.175
236,FUS,1206162,post,False,0.275
237,FUS,1206162,post,True,0.2125
238,FUS,1206162,pre,False,0.3125
239,FUS,1206162,pre,True,0.25
240,FUS,1206163,post,False,0.3
241,FUS,1206163,post,True,0.275
242,FUS,1206163,pre,False,0.275
243,FUS,1206163,pre,True,0.275
244,FUS,1207162,post,False,0.225
245,FUS,1207162,post,True,0.2625
246,FUS,1207162,pre,False,0.3625
247,FUS,1207162,pre,True,0.2125
248,HC,0110171,post,False,0.2
249,HC,0110171,post,True,0.3
250,HC,0110171,pre,False,0.2625
251,HC,0110171,pre,True,0.3
252,HC,0110172,post,False,0.2625
253,HC,0110172,post,True,0.25
254,HC,0110172,pre,False,0.275
255,HC,0110172,pre,True,0.2875
256,HC,0111171,post,False,0.225
257,HC,0111171,post,True,0.225
258,HC,0111171,pre,False,0.275
259,HC,0111171,pre,True,0.2375
260,HC,0112171,post,False,0.225
261,HC,0112171,post,True,0.3625
262,HC,0112171,pre,False,0.15
263,HC,0112171,pre,True,0.2
264,HC,0112172,post,False,0.3
265,HC,0112172,post,True,0.2875
266,HC,0112172,pre,False,0.275
267,HC,0112172,pre,True,0.2625
268,HC,0112173,post,False,0.2
269,HC,0112173,post,True,0.275
270,HC,0112173,pre,False,0.25
271,HC,0112173,pre,True,0.15
272,HC,0113171,post,False,0.275
273,HC,0113171,post,True,0.2375
274,HC,0113171,pre,False,0.225
275,HC,0113171,pre,True,0.275
276,HC,0115174,post,False,0.2125
277,HC,0115174,post,True,0.225
278,HC,0115174,pre,False,0.25
279,HC,0115174,pre,True,0.2125
280,HC,0117171,post,False,0.2375
281,HC,0117171,post,True,0.2375
282,HC,0117171,pre,False,0.1875
