roi_formatted,subj,phase,trained,target_prob_raw
ENT,0110171,post,False,0.2559443827073471
ENT,0110171,post,True,0.29654941606565516
ENT,0110171,pre,False,0.23419171700734837
ENT,0110171,pre,True,0.22666492710595873
ENT,0110172,post,False,0.2604288619284933
ENT,0110172,post,True,0.29105373446506927
ENT,0110172,pre,False,0.27021570195609745
ENT,0110172,pre,True,0.20561066633980243
ENT,0111171,post,False,0.24417145391616474
ENT,0111171,post,True,0.2843925720886091
ENT,0111171,pre,False,0.2185880917276101
ENT,0111171,pre,True,0.2665196873392481
ENT,0112171,post,False,0.259471594530274
ENT,0112171,post,True,0.27652619588754257
ENT,0112171,pre,False,0.2685635459850635
ENT,0112171,pre,True,0.24249229474985606
ENT,0112172,post,False,0.22780661177161488
ENT,0112172,post,True,0.2470529937494649
ENT,0112172,pre,False,0.21905549211599545
ENT,0112172,pre,True,0.1747902538513424
ENT,0112173,post,False,0.2515025250630253
ENT,0112173,post,True,0.26920653133397854
ENT,0112173,pre,False,0.2406359387784029
ENT,0112173,pre,True,0.2427573426722318
ENT,0113171,post,False,0.23251162198167058
ENT,0113171,post,True,0.25201339537043443
ENT,0113171,pre,False,0.1973118012525492
ENT,0113171,pre,True,0.2960337418178237
ENT,0115174,post,False,0.24011722551092265
ENT,0115174,post,True,0.24105286213405855
ENT,0115174,pre,False,0.254435417230917
ENT,0115174,pre,True,0.21779838399342077
ENT,0117171,post,False,0.30006810734666456
ENT,0117171,post,True,0.27435582327402686
ENT,0117171,pre,False,0.2844690015184299
ENT,0117171,pre,True,0.18466696724441667
ENT,0118171,post,False,0.2724301739923075
ENT,0118171,post,True,0.23224338456684235
ENT,0118171,pre,False,0.2551148627127676
ENT,0118171,pre,True,0.24228003055277353
ENT,0118172,post,False,0.2742035725715331
ENT,0118172,post,True,0.2516723809279776
ENT,0118172,pre,False,0.2560554797248939
ENT,0118172,pre,True,0.23797577705830716
ENT,0119171,post,False,0.20803808444572347
ENT,0119171,post,True,0.259367001759533
ENT,0119171,pre,False,0.2885758408255648
ENT,0119171,pre,True,0.2582727983271844
ENT,0119172,post,False,0.26851913566859625
ENT,0119172,post,True,0.21789011581650689
ENT,0119172,pre,False,0.2761066486103528
ENT,0119172,pre,True,0.22079432643738167
ENT,0119173,post,False,0.2666049020994544
ENT,0119173,post,True,0.2279891400571617
ENT,0119173,pre,False,0.21799956593607347
ENT,0119173,pre,True,0.24261009784296297
ENT,0119174,post,False,0.3383911080784142
ENT,0119174,post,True,0.27466774751650513
ENT,0119174,pre,False,0.26433544084404115
ENT,0119174,pre,True,0.21903253566894182
ENT,0120171,post,False,0.2796544039668739
ENT,0120171,post,True,0.24325687428704895
ENT,0120171,pre,False,0.24261442969096253
ENT,0120171,pre,True,0.22212889433040317
ENT,0120172,post,False,0.2690940461917841
ENT,0120172,post,True,0.24216248068442375
ENT,0120172,pre,False,0.2552248183439661
ENT,0120172,pre,True,0.21041510799599047
ENT,0120173,post,False,0.2532327224877232
ENT,0120173,post,True,0.24980280628377516
ENT,0120173,pre,False,0.23497235738335265
ENT,0120173,pre,True,0.22955263229964062
ENT,0123171,post,False,0.2584351302192526
ENT,0123171,post,True,0.2610888312864796
ENT,0123171,pre,False,0.24902319547626278
ENT,0123171,pre,True,0.22702818542322173
ENT,0123173,post,False,0.2824934358699476
ENT,0123173,post,True,0.24439370487224146
ENT,0123173,pre,False,0.24831326958026384
ENT,0123173,pre,True,0.2919966794665206
ENT,0124171,post,False,0.2446775996812433
ENT,0124171,post,True,0.18685083223082288
ENT,0124171,pre,False,0.27188341806908656
ENT,0124171,pre,True,0.26129579687348203
ENT,0125171,post,False,0.24429755444167958
ENT,0125171,post,True,0.28580614222412254
ENT,0125171,pre,False,0.2774149646636962
ENT,0125171,pre,True,0.23743153506312153
ENT,0125172,post,False,0.2771155384515581
ENT,0125172,post,True,0.2546517659511959
ENT,0125172,pre,False,0.2120511020311108
ENT,0125172,pre,True,0.2511404029344467
ENT,1121161,post,False,0.24179359760885827
ENT,1121161,post,True,0.20828319409950566
ENT,1121161,pre,False,0.21026667676108257
ENT,1121161,pre,True,0.24492998635662172
ENT,1130161,post,False,0.24255833420866604
